frame,time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz)
1,0.028125,3,320.998,193.655,1739.367,253.985,3256.817,766.631
2,0.034375,3,317.773,172.633,1658.316,238.935,3233.187,579.806
3,0.040625,3,310.806,139.450,1713.840,166.879,3277.177,554.367
4,0.046875,3,305.423,121.621,1740.794,134.904,3270.641,482.275
5,0.053125,3,302.841,120.442,1750.489,134.368,3302.469,528.083
6,0.059375,3,299.875,128.859,1749.118,151.410,3341.885,592.498
7,0.065625,3,296.493,125.905,1728.646,139.886,3312.737,401.446
8,0.071875,3,296.035,135.398,1773.826,104.209,3277.538,430.718
9,0.078125,3,293.262,138.183,1769.858,105.789,3207.483,359.665
10,0.084375,3,283.299,153.381,1743.669,105.782,3186.991,395.621
11,0.090625,3,259.307,185.712,1725.986,122.409,3213.322,428.196
12,0.096875,3,242.907,173.305,1693.760,125.266,3242.656,407.282
13,0.103125,3,240.561,167.831,1682.191,124.035,3247.809,314.697
14,0.109375,3,242.656,184.340,1680.347,128.255,3273.188,311.857
15,0.115625,3,244.544,195.684,1674.280,130.747,3284.474,261.988
16,0.121875,3,246.181,211.625,1669.468,107.683,3257.107,281.838
17,0.128125,3,244.728,254.278,1663.667,99.732,3212.375,399.646
18,0.134375,3,242.995,295.325,1673.385,92.816,3225.145,330.315
19,0.140625,3,252.656,294.884,1671.453,90.024,3230.832,169.991
20,0.146875,3,252.261,408.798,1675.045,99.408,3233.918,202.074
21,0.153125,3,274.329,532.238,1700.402,121.322,3218.368,371.085
22,0.159375,3,440.515,429.535,1710.339,137.335,3174.995,307.974
23,0.165625,3,574.815,245.036,1725.472,126.783,3093.128,266.517
24,0.171875,3,635.552,165.170,1739.449,133.987,3101.606,257.486
25,0.178125,3,675.816,139.312,1715.711,168.029,3139.785,257.547
26,0.184375,3,719.599,173.157,1682.587,239.057,3219.966,198.194
27,0.190625,3,746.793,190.371,1682.750,256.227,3208.814,176.279
28,0.196875,3,763.078,171.869,1691.900,212.492,3163.756,133.311
29,0.203125,3,797.386,164.842,1687.397,199.593,3161.871,122.271
30,0.209375,3,832.503,166.838,1681.049,198.874,3183.199,164.651
31,0.215625,3,850.179,162.559,1676.278,194.662,3186.080,220.838
32,0.221875,3,870.511,162.391,1678.110,176.604,3188.289,270.613
33,0.228125,3,891.821,168.404,1669.503,179.238,3166.228,289.300
34,0.234375,3,911.269,178.123,1657.143,195.428,3158.896,282.426
35,0.240625,3,916.672,180.174,1662.660,173.468,3167.833,292.135
36,0.246875,3,925.961,181.563,1671.588,151.730,3186.682,283.940
37,0.253125,3,944.676,205.389,1670.484,165.286,3202.675,336.831
38,0.259375,3,955.047,202.553,1665.633,172.751,3179.136,352.675
39,0.265625,3,955.457,202.746,1665.886,170.743,3170.296,273.826
40,0.271875,3,957.712,206.608,1667.336,176.775,3173.079,240.981
41,0.278125,3,958.435,214.686,1668.734,181.555,3191.233,281.029
42,0.284375,3,952.664,202.701,1661.923,176.190,3197.011,289.758
43,0.290625,3,945.876,183.715,1655.201,162.776,3172.331,227.913
44,0.296875,3,944.220,189.216,1654.994,176.437,3183.726,245.154
45,0.303125,3,943.625,192.709,1651.366,189.609,3205.250,251.270
46,0.309375,3,957.144,210.894,1651.280,226.550,3220.266,255.578
47,0.315625,3,948.431,207.363,1664.164,211.069,3212.742,249.096
48,0.321875,3,934.821,200.525,1670.139,193.000,3213.808,228.750
49,0.328125,3,932.703,211.134,1674.703,210.756,3230.933,316.371
50,0.334375,3,923.106,197.882,1674.929,194.655,3192.535,320.096
51,0.340625,3,920.806,206.269,1672.614,201.863,3207.244,341.012
52,0.346875,3,915.992,214.870,1678.677,214.553,3199.525,299.141
53,0.353125,3,913.287,224.558,1682.754,225.981,3201.948,315.921
54,0.359375,3,907.539,248.348,1666.088,261.531,3186.412,380.313
55,0.365625,3,902.731,274.393,1644.023,273.933,3215.705,416.761
56,0.371875,3,896.242,270.286,1629.285,252.810,3204.937,468.648
57,0.378125,3,891.086,266.855,1614.927,273.961,3194.683,424.754
58,0.384375,3,877.072,247.857,1621.167,273.202,3217.201,403.071
59,0.390625,3,852.786,229.880,1628.565,222.730,3187.204,417.756
60,0.396875,3,835.962,230.039,1616.719,230.688,3149.613,402.544
61,0.403125,3,828.051,246.745,1612.057,257.178,3157.098,336.728
62,0.409375,3,822.391,434.789,1673.554,272.605,3180.154,266.298
63,0.415625,3,707.558,463.290,1617.395,193.108,3232.078,301.467
64,0.421875,3,607.501,393.621,1570.050,173.436,3317.212,577.140
65,0.428125,3,511.600,482.604,1515.857,218.598,3217.943,501.829
66,0.434375,3,415.594,487.952,1544.872,240.249,3234.916,369.190
67,0.440625,3,374.357,486.859,1588.532,281.999,3314.233,551.068
68,0.446875,3,115.443,867.346,1607.624,271.470,3555.090,1284.531
69,0.453125,2,1612.887,223.436,3280.854,932.681,--undefined--,--undefined--
70,0.459375,2,1662.316,214.793,3479.221,1178.702,--undefined--,--undefined--
71,0.465625,2,1704.218,2578.449,1711.754,345.726,--undefined--,--undefined--
72,0.471875,1,1632.561,269.988,--undefined--,--undefined--,--undefined--,--undefined--
73,0.478125,2,1600.321,280.982,2306.754,3648.393,--undefined--,--undefined--
74,0.484375,2,1616.213,252.265,2084.487,1729.449,--undefined--,--undefined--
75,0.490625,2,1640.273,228.863,1968.862,1584.070,--undefined--,--undefined--
76,0.496875,2,1678.363,261.844,2012.785,1647.618,--undefined--,--undefined--
77,0.503125,2,1688.288,283.015,2756.270,1387.282,--undefined--,--undefined--
78,0.509375,1,1891.315,405.069,--undefined--,--undefined--,--undefined--,--undefined--
79,0.515625,0,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
80,0.521875,0,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
81,0.528125,0,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
82,0.534375,0,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
83,0.540625,0,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
84,0.546875,0,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
85,0.553125,1,1771.247,681.563,--undefined--,--undefined--,--undefined--,--undefined--
86,0.559375,1,1792.742,663.517,--undefined--,--undefined--,--undefined--,--undefined--
87,0.565625,1,1790.371,666.216,--undefined--,--undefined--,--undefined--,--undefined--
88,0.571875,1,1769.573,654.832,--undefined--,--undefined--,--undefined--,--undefined--
