Block,TrialNo,Condition,WordGroup,TargetWord,TargetImage,DistractorImage,ImageLFile,ImageRFile,CarrierWord,CarrierPitch,PromptFile,AttentionGetterFile
1,1,neutral,dog-book,book,ImageL,ImageR,book3,dog3,Where,hi,Whe_hi_the_V_Book_neut,AN_LookAtThat
1,2,facilitating,duck-ball,ball,ImageR,ImageL,duck1,ball1,Find,lo,Fin_lo_the_B_Ball_faci,AN_CheckitOut
1,3,filler,sock-cup,sock,ImageR,ImageL,cup1,sock1,See,lo,See_lo_the_V_Sock_neut,AN_ThisIsFun
1,4,facilitating,duck-ball,duck,ImageL,ImageR,duck2,ball2,Where,hi,Whe_hi_the_D_Duck_faci,AN_CheckitOut
1,5,facilitating,dog-book,book,ImageL,ImageR,book4,dog4,Where,hi,Whe_hi_the_B_Book_faci,AN_ThisIsFun
1,6,filler,cat-car,cat,ImageR,ImageL,car1,cat1,Find,lo,Fin_lo_the_V_Cat_neut,AN_CheckitOut
1,7,neutral,duck-ball,ball,ImageL,ImageR,ball4,duck4,Find,lo,Fin_lo_the_V_Ball_neut,AN_ThisIsFun
1,8,neutral,dog-book,book,ImageR,ImageL,dog2,book2,See,hi,See_hi_the_V_Book_neut,AN_LookAtThat
1,9,filler,cookie-shoe,cookie,ImageL,ImageR,cookie1,shoe1,Where,lo,Whe_lo_the_V_Cookie_neut,AN_ThisIsFun
1,10,neutral,duck-ball,ball,ImageR,ImageL,duck3,ball3,Find,hi,Fin_hi_the_V_Ball_neut,AN_LookAtThat
1,11,facilitating,dog-book,dog,ImageL,ImageR,dog3,book3,See,lo,See_lo_the_D_Dog_faci,AN_ThisIsFun
1,12,filler,cat-car,car,ImageL,ImageR,car2,cat2,See,lo,See_lo_the_V_Car_neut,AN_LookAtThat
1,13,facilitating,dog-book,book,ImageR,ImageL,dog2,book2,Find,lo,Fin_lo_the_B_Book_faci,AN_ThisIsFun
1,14,neutral,duck-ball,duck,ImageR,ImageL,ball2,duck2,Where,hi,Whe_hi_the_V_Duck_neut,AN_CheckitOut
1,15,filler,cookie-shoe,shoe,ImageR,ImageL,cookie2,shoe2,Find,lo,Fin_lo_the_V_Shoe_neut,AN_ThisIsFun
1,16,facilitating,duck-ball,duck,ImageR,ImageL,ball3,duck3,Where,lo,Whe_lo_the_D_Duck_faci,AN_LookAtThat
1,17,neutral,dog-book,dog,ImageL,ImageR,dog1,book1,See,hi,See_hi_the_V_Dog_neut,AN_ThisIsFun
1,18,filler,sock-cup,cup,ImageL,ImageR,cup2,sock2,Where,hi,Whe_hi_the_V_Cup_neut,AN_CheckitOut
1,19,neutral,dog-book,dog,ImageR,ImageL,book4,dog4,Where,hi,Whe_hi_the_V_Dog_neut,AN_LookAtThat
1,20,facilitating,duck-ball,ball,ImageL,ImageR,ball4,duck4,See,lo,See_lo_the_B_Ball_faci,AN_CheckitOut
1,21,filler,cat-car,cat,ImageL,ImageR,cat1,car1,Where,hi,Whe_hi_the_V_Cat_neut,AN_LookAtThat
1,22,neutral,duck-ball,duck,ImageL,ImageR,duck1,ball1,See,lo,See_lo_the_V_Duck_neut,AN_ThisIsFun
1,23,facilitating,dog-book,dog,ImageR,ImageL,book1,dog1,Find,hi,Fin_hi_the_D_Dog_faci,AN_LookAtThat
2,1,neutral,dog-book,book,ImageL,ImageR,book2,dog2,See,lo,See_lo_the_V_Book_neut,AN_CheckitOut
2,2,facilitating,duck-ball,ball,ImageR,ImageL,duck4,ball4,Where,lo,Whe_lo_the_B_Ball_faci,AN_LookAtThat
2,3,filler,cat-car,cat,ImageL,ImageR,cat2,car2,See,hi,See_hi_the_V_Cat_neut,AN_LookAtThat
2,4,neutral,duck-ball,duck,ImageR,ImageL,ball2,duck2,Find,hi,Fin_hi_the_V_Duck_neut,AN_ThisIsFun
2,5,facilitating,duck-ball,ball,ImageL,ImageR,ball1,duck1,See,hi,See_hi_the_B_Ball_faci,AN_LookAtThat
2,6,filler,sock-cup,cup,ImageL,ImageR,cup2,sock2,Find,hi,Fin_hi_the_V_Cup_neut,AN_CheckitOut
2,7,neutral,dog-book,dog,ImageL,ImageR,dog4,book4,Find,hi,Fin_hi_the_V_Dog_neut,AN_ThisIsFun
2,8,facilitating,dog-book,book,ImageL,ImageR,book2,dog2,Find,lo,Fin_lo_the_B_Book_faci,AN_CheckitOut
2,9,filler,cookie-shoe,cookie,ImageR,ImageL,shoe2,cookie2,Where,lo,Whe_lo_the_V_Cookie_neut,AN_LookAtThat
2,10,facilitating,duck-ball,duck,ImageR,ImageL,ball2,duck2,See,hi,See_hi_the_D_Duck_faci,AN_CheckitOut
2,11,neutral,dog-book,dog,ImageR,ImageL,book1,dog1,See,lo,See_lo_the_V_Dog_neut,AN_ThisIsFun
2,12,filler,sock-cup,sock,ImageR,ImageL,cup1,sock1,Where,hi,Whe_hi_the_V_Sock_neut,AN_CheckitOut
2,13,neutral,duck-ball,ball,ImageR,ImageL,duck4,ball4,Where,lo,Whe_lo_the_V_Ball_neut,AN_LookAtThat
2,14,neutral,duck-ball,duck,ImageL,ImageR,duck1,ball1,Where,lo,Whe_lo_the_V_Duck_neut,AN_CheckitOut
2,15,filler,cookie-shoe,shoe,ImageL,ImageR,shoe1,cookie1,See,hi,See_hi_the_V_Shoe_neut,AN_ThisIsFun
2,16,facilitating,dog-book,book,ImageR,ImageL,dog4,book4,See,hi,See_hi_the_B_Book_faci,AN_ThisIsFun
2,17,facilitating,dog-book,dog,ImageL,ImageR,dog3,book3,Find,lo,Fin_lo_the_D_Dog_faci,AN_ThisIsFun
2,18,filler,cat-car,car,ImageR,ImageL,cat1,car1,Where,lo,Whe_lo_the_V_Car_neut,AN_CheckitOut
2,19,neutral,duck-ball,ball,ImageL,ImageR,ball3,duck3,Find,hi,Fin_hi_the_V_Ball_neut,AN_ThisIsFun
2,20,facilitating,dog-book,dog,ImageR,ImageL,book1,dog1,See,hi,See_hi_the_D_Dog_faci,AN_CheckitOut
2,21,filler,cookie-shoe,cookie,ImageR,ImageL,shoe1,cookie1,See,lo,See_lo_the_V_Cookie_neut,AN_LookAtThat
2,22,facilitating,duck-ball,duck,ImageL,ImageR,duck3,ball3,Find,lo,Fin_lo_the_D_Duck_faci,AN_ThisIsFun
2,23,neutral,dog-book,book,ImageR,ImageL,dog3,book3,Find,hi,Fin_hi_the_V_Book_neut,AN_CheckitOut
